 Company  Names!!,Car_Name @,Tipo de motor  ,CC / Batt.Capacidad , Horse Power(HP)! ,velocidad max kmh ,0_100 km/h  (seg) ,Precio $$ coche,TipoCombustible  ,  Num Asientos ,Par motor (Nm)??
Mazda,3 Hatchback,2.5L SkyActiv-G,"2,500cc",186hp,N/A,8.3 sec,"$24,000 - $28,000",Petrol,5,252 Nm
Mazda,6,2.5L Turbocharged,"2,500cc",250hp,240km/h,6.4 sec,"$27,000 - $35,000",Petrol,5,420 Nm
Mazda,CX-3,2.0L SkyActiv-G,"2,000cc",146hp,180km/h,9.5 sec,"$21,000 - $25,000",Petrol,5,197 Nm
Mazda,CX-30,2.5L SkyActiv-G,2500 cc,186hp,204km/h,8.7 sec,"$23,000 - $28,000",Petrol,5,252 Nm
Mazda,CX-5,2.5L SkyActiv-G,"2,500cc",187hp,200km/h,8.8 sec,26.00032.000€,Petrol,5,252 Nm
Mazda,CX-50,2.5L Turbocharged,"2,500cc",256HP,220 KMH,6.9 sec,"$29,000 - $36,000",Petrol,5,434 Nm
Mazda,CX-8,2.2L Diesel,"2,200cc",187hp,200km/h,9.2 sec,"$36,000 - $42,000",Diesel,7,450 Nm
Mazda,CX-9,2.5L Turbocharged,"2,500cc",250hp,N/A,7.2 sec,"$38,000 - $45,000",PETROL,7,420Nm
Mazda,CX-90,3.3L Inline-6 Turbo,"3,300cc",340hp,240km/h,6.2 sec,"$50,000 - $60,000",Petrol,7,500 Nm
Mazda,MX-5 Miata,2.0L SkyActiv-G,"2,000cc",181 hp,225km/h,6.5 sec,"$27,000 - $33,000",petrol,2,205 Nm
Mazda,MX-5 Miata RF,2.0L SkyActiv-G,"2,000cc",181hp,225km/h,6.5 sec,"$33,000 - $40,000",Petrol,2,205 Nm
Mazda,MX-30 Electric,Electric Motor,35.5kWhbattery,143hp,140km/h,9.7 sec,"$33,000 - $37,000",electric,5,271 Nm
Mazda,CX-4,2.0L SkyActiv-G,"2,000cc",158hp,190km/h,9.6 sec,"$22,000 - $28,000",Petrol,5,202 Nm
Mazda,CX-7,2.3L Turbocharged,"2,300cc",244hp,210 KMH,7.9 sec,"$28,000 - $33,000",Petrol,5,350 Nm
Mazda,Tribute,3.0L V6,"3,000cc",200hp,190km/h,9.0 sec,"$24,000 - $30,000",Petrol,5,270 Nm
Mazda,B-Series Pickup,2.5L Diesel,"2,500cc",143hp,170km/h,11.5 sec,??,DIESEL,5,330 nm
Mazda,BT-50,3.2L Turbo Diesel,"3,200cc",200hp,180km/h,10.0 sec,"$27,000 - $35,000",Diesel,5,470 Nm
Mazda,RX-7,1.3L Rotary Twin-Turbo,"1,300cc",276 hp,250km/h,5.5 sec,"$30,000 - $50,000",Petrol,4,314 Nm
Mazda,RX-3,1.2L Rotary,"1,200cc",110hp,180km/h,8.9 sec,"$15,000 - $20,000",Petrol,4,145 Nm
Mazda,RX-Vision Concept,Rotary SkyActiv-R,nan,400hp(est.),300km/h(est.),,N/A (Concept Only),Petrol (Hybrid),2,
Mazda,323F,1.6L Inline-4,"1,600cc",105hp,180,10.5 sec,"$14,000 - $18,000",Petrol,5,145 Nm
Mazda,Familia Sedan,1.5L Inline-4,"1,500cc",100hp,175km/h,11.0 sec,"$12,000 - $16,000",Petrol,5,135 Nm
Mazda,Premacy,2.0L Inline-4,"2,000cc",138hp,190 Km/h,9.8 sec,"$18,000 - $24,000",Petrol,7,180 Nm
Mazda,Demio,1.5L SkyActiv-G,,108hp,180 KMH,10.2 sec,"$13,000 - $18,000",Petrol,5,142 Nm
Mazda,Millenia,2.3L Miller Cycle V6,"2,300cc",210hp,215km/h,8.2 sec,"$25,000 - $30,000",Petrol,5,280Nm
Mazda,Eunos Cosmo,2.0L Twin-Rotor Turbo,"2,000cc",280hp,240,6.0 sec,"$40,000 - $50,000",Petrol,4,300 Nm
Mazda,Atenza,2.5L SkyActiv-G,"2,500cc",192hp,210km/h,8.5 sec,"$22,000 - $28,000",Petrol,5,252 Nm
Mazda,Roadpacer AP,1.3L Rotary,"130,0 cc",130hp,170km/h,11.5 sec,"$20,000 - $25,000",Petrol,5,165 Nm
Mazda,626,2.0L Inline-4,"2,000cc",140hp,190km/h,9.5 sec,"$18,000 - $22,000",Petrol,5,180 Nm
Mazda,929,3.0L V6,"3,000cc",205hp,220km/h,8.0 sec,"$25,000 - $30,000",Petrol,5,270 Nm
Mazda,Luce,1.8L Rotary,,135hp,180km/h,10.5 sec,??,Petrol,5,170 N·m
Mazda,Capella,1.6L Inline-4,"1,600cc",110hp,175km/h,11.2 sec,"$14,000 - $18,000",Petrol,5,145 Nm
Mazda,Carol,660cc Inline-3,660cc,63hp,140km/h,15.5 sec,9.00012.000€,Petrol,4,90 Nm
Mazda,Autozam AZ-1,657cc Turbocharged Inline-3,657cc,63 hp,140km/h,11.0 sec,"$12,000 - $18,000",Petrol,2,85 nm
Mazda,Spiano,660cc Inline-3,660cc,54hp,130km/h,16.0 sec,"$8,000 - $10,000",Petrol,4,80 Nm
Mazda,Verisa,1.5L Inline-4,"1,500cc",113hp,170km/h,11.0 sec,"$14,000 - $18,000",Petrol,5,140 Nm
Mazda,MX-6,2.5L V6,"2,500cc",164hp,210km/h,8.8 sec,"$18,000 - $24,000",Petrol,4,215 Nm
Mazda,MPV,3.0L V6,"3,000cc",200HP,185km/h,9.5 sec,,Petrol,7,265 Nm
Mazda,Proceed Marvie,2.6L Inline-4,"2,600cc",120hp,160km/h,12.0 sec,"$20,000 - $25,000",PETROL,5,200 Nm
Mazda,Sentia,3.0L V6,"3,000cc",200hp,200km/h,9.0 sec,"$22,000 - $28,000",Petrol,5,265 Nm
Mazda,Cronos,2.5L V6,"2,500cc",160hp,190km/h,8.5 sec,"$18,000 - $22,000",Petrol,5,210 Nm
Mazda,Scrum,660cc Inline-3,660cc,63hp,130km/h,15.0 sec,9.00011.000€,Petrol,4,85 Nm
Mazda,Parkway,1.8L Inline-4,"1,800cc",115hp,160 kmh,12.5 sec,"$20,000 - $25,000",Petrol,5,155 nm
Mazda,Titan (Truck),3.0L Inline-4,"3,000cc",130hp,120km/h,15.0 sec,"$25,000 - $30,000",Diesel,,300
Mazda,CX-60,2.5L Inline-4,"2,500cc",187hp,200km/h,8.5 sec,"$40,000 - $45,000",Petrol/Diesel,5,250 Nm
