 Company  Names!!,Car_Name @,Tipo de motor  ,CC / Batt.Capacidad , Horse Power(HP)! ,velocidad max kmh ,0_100 km/h  (seg) ,Precio $$ coche,TipoCombustible  ,  Num Asientos ,Par motor (Nm)??
Kia,EV3,Single Electric Motor,58kWh,201hp,180km/h,7.8 sec,$36000,Electric,5,310 Nm
Kia,Sportage Hybrid,1.6L Turbo Hybrid,1598cc+Battery,,190km/h,8.1 sec,$35000,hyrbrid,5,350 Nm
Lamborghini,Revuelto,6.5L V12 Plug-In Hybrid,6498cc+Battery,1001hp,350km/h,2.5 sec,$600000,Hybrid,2,1000 Nm
Lamborghini,Huracán Sterrato,5.2L V10,5204cc,610hp,260 Km/h,3.4 sec,$280000,Petrol,2,565 Nm
Land Rover,Defender 130,3.0L Turbo I6 Mild Hybrid,2996cc,400hp,191km/h,6.1 sec,$85000,Hybrid,8,550 Nm
Land Rover,Range Rover Sport PHEV,3.0L Turbo I6 PHEV,2996cc+Battery,510hp,242,5.4 sec,$1230000,plug in-In hyrbrid,5,700 Nm
Lexus,RZ 450e,Dual Electric Motors,71.4kWh,309hp,160km/h,5.3 sec,$59000,Electric,cinco,435 Nm
Lexus,GX 550 Overtrail,3.4L Twin-Turbo V6,3445cc,349hp,175km/h,6.5 sec,$70000,Petrol,7,649 Nm
Lucid,Air Sapphire,Triple Electric Motors,118kWh,1234hp,330km/h,1.9 sec,$250000,Electric,5,1390 Nm
Lucid,Air Pure RWD,Single Electric Motor,desconocido,430hp,N/A,4.4 sec,$77000,Electric,5,600 Nm
Maserati,MC20 Cielo,3.0L Twin-Turbo V6,3000cc,621hp,325km/h,3.0 sec,260000€,Petrol,,730 Nm
Maserati,Grecale Trofeo,3.0L Twin-Turbo V6,3000cc,523hp,285km/h,3.8 sec,$110000,Petrol,5,620 Nm
Mazda,MX-30 R-EV,Rotary Range-Extender EV,830cc+Battery,168hp,140km/h,9.1 sec,$38000,Hybrid,5,260 Nm
Mazda,CX-60 PHEV,2.5L I4 Plug-In Hybrid,2488cc+Battery,327hp,200 KMH,5.8 sec,$52000,Plug-In Hybrid,5,500 Nm
Mercedes,AMG C63 S E Performance,2.0L Turbo Hybrid I4,1991cc+Battery,671 hp,280km/h,3.3 sec,100000€,Hybrid,5,1020 Nm
Mercedes,EQE SUV 500 4MATIC,Dual Electric Motors,desconocido,402hp,210km/h,4.9 sec,??,Electric,5,858 Nm
Mini,Cooper SE 2024,Single Electric Motor,54kWh,218hp,170km/h,6.7 sec,$38000,Electric,4,330 Nm
Mini,Countryman SE ALL4,Dual Electric Motors,66kWh,313hp,180km/h,5.6 sec,$48000,Electric,5,494 Nm
Nissan,Z NISMO,3.0L Twin-Turbo V6,2997cc,420hp,250km/h,4.0 sec,$68000,Petrol,2,520 Nm
Nissan,X-Trail e-POWER,1.5L e-POWER Hybrid,1497cc+Battery,213hp,180km/h,7.9 sec,$40000,Hybrid,7,330 Nm
Opel,Astra Electric,Single Electric Motor,54kWh,154hp,170km/h,9.2 sec,$37000,Electric,5,270
Opel,Grandland Hybrid,1.6L Turbo Hybrid,1598cc+Battery,225hp,200km/h,8.0 sec,$42000,Hybrid,5,360 Nm
Peugeot,408 PHEV,1.6L Turbo PHEV,1598cc+Battery,225hp,233km/h,7.8 sec,,Plug-In Hybrid,,360 Nm
Peugeot,e-308 GT,Single Electric Motor,54kWh,156hp,170km/h,9.0 sec,$41000,Electric,5,270 Nm
Polestar,Polestar 3,Dual Electric Motors,111CC,517hp,210km/h,4.7 sec,$85000,Electric,5,910 Nm
Polestar,Polestar 4,Dual Electric Motors,102kWh,544hp,200km/h,3.8 sec,$78000,Electric,5,686 N·m
Porsche,Macan EV Turbo,Dual Electric Motors,100kWh,603hp,260km/h,3.1 sec,$105000,Electric,5,960 Nm
Porsche,Panamera Turbo E-Hybrid,4.0L Twin-Turbo V8 PHEV,3996cc+Battery,680HP,315km/h,3.2 sec,$190000,Plug-In Hybrid,4,870 Nm
Renault,Megane E-Tech Electric,Single Electric Motor,60kWh,N/A,160 kmh,7.4 sec,??,Electric,5,300 Nm
Renault,Rafale E-Tech Hybrid,1.2L Turbo Hybrid,1199cc+Battery,200hp,180km/h,8.4 sec,47000€,Hybrid,5,280 Nm
Skoda,Enyaq RS iV,Dual Electric Motors,82kWh,295hp,180km/h,6.5 sec,$60000,Electric,5,460 Nm
Skoda,Superb iV,1.4L Turbo PHEV,1395CC,218-hp,225,7.7 sec,??,Plug-In Hybrid,5,400 Nm
Subaru,Solterra,Dual Electric Motors,71.4kWh,218hp,160km/h,7.7 sec,$45000,Electric,cinco,337 Nm
Subaru,Crosstrek Hybrid,2.0L Boxer Hybrid,1995CC,148hp,185 KMH,9.0 sec,38000€,HYBRID,5,260 Nm
Suzuki,Across PHEV,2.5L PHEV I4,2487cc+Battery,306hp,180km/h,6.0 sec,$52000,Plug-In Hybrid,5,450 Nm
Suzuki,Vitara Hybrid,1.5L Hybrid I4,1462cc+Battery,,175km/h,12.7 sec,$28000,Hybrid,5,220 Nm
Tesla,Model 3 Performance 2024,Dual Electric Motors,82kWh,510-hp,261km/h,3.2 sec,$55000,Electric,5,660 Nm
Tesla,Cybertruck Tri-Motor,Triple Electric Motors,123kWh,845hp,210km/h,2.9 sec,$99000,Electric,5,1100 Nm
Toyota,Prius Prime 2024,2.0L Plug-In Hybrid,,220hp,177 Km/h,6.6 sec,$36000,Plug-In Hybrid,5,305
Toyota,Land Cruiser 250 Hybrid,2.4L Turbo Hybrid,2393cc+Battery,326hp,180km/h,7.5 sec,65000€,Hybrid,7,630 Nm
Volkswagen,ID.7 Pro,Single Electric Motor,77kWh,282hp,180km/h,6.5 sec,$58000,Electric,5,545 Nm
Volkswagen,ID.Buzz GTX,Dual Electric Motors,82kWh,340hp,160km/h,6.4 sec,$72000,Electric,7,680 Nm
Volvo,EX30 Twin Motor,Dual Electric Motors,69kWh,428 hp,180km/h,3.6 sec,$48000,Electric,5,543 Nm
Volvo,EX90 Twin Motor,Dual Electric Motors,111kWh,517hp,180km/h,4.9 sec,95000€,Electric,7,910 Nm
Alfa Romeo,Tonale Plug-In Hybrid,2.5L I4 Hybrid,2487cc,279hp,200km/h,6.9 sec,$52000,Hybrid,5,380 Nm
Alpine,A110 R,1.8L Turbo I4,1798cc,300hp,285km/h,3.9 sec,$110000,Petrol,2,340 Nm
Aston Martin,Vantage 2025,4.0L Twin-Turbo V8,3996 cc,656hp,325km/h,3.4 sec,$185000,Petrol,2,800 Nm
BMW,X5 xDrive50e,3.0L Turbo I6 PHEV,2998 cm3,483 hp,250,4.8 sec,$84000,PLUG-IN HYBRID,5,700 Nm
BMW,M5 2025,4.4L Twin-Turbo V8,4395cc,635hp,305km/h,3.2 sec,$125000,Petrol,5,750 Nm
BYD,Han EV,Single Electric Motor,85kWh,380hp,200km/h,5.2 sec,$45000,Electric,5,
BYD,Song Plus DM-i,1.5L Hybrid I4,1498cc+Battery,215hp,175km/h,7.9 sec,$30000,Hybrid,5,
Cadillac,Escalade IQ,Dual Electric Motors,200kWh,750hp,190km/h,4.5 sec,$130000,Electric,7,1060 Nm
Chevrolet,Equinox EV,Single Electric Motor,85kWh,288hp,190km/h,6.5 sec,$35000,Electric,5,450 Nm
Citroën,Berlingo Electric,Single Electric Motor,50 cm3,136hp,130km/h,11.0 sec,$33000,Electric,5,260 Nm
Cupra,Leon VZ Cup,2.0L Turbo I4,1984cc,310-hp,270km/h,5.0 sec,$49000,petrol,5,400 Nm
Dacia,Spring Electric,Single Electric Motor,27.4kWh,65hp,125 kmh,13.7 sec,$22000,Electric,4,113 Nm
Dodge,Challenger Last Call,6.2L Supercharged V8,6166cc,807hp,320km/h,3.3 sec,$110.000,Petrol,4,960 Nm
Ferrari,SF90 XX Stradale,4.0L V8 Plug-In Hybrid,3990cc+Battery,1016hp,320km/h,2.3 sec,$800.000,Hybrid,2,900 Nm
Ferrari,Daytona SP3,6.5L V12,6496cc,828hp,340km/h,2.9 sec,$2000000,Petrol,2,
Ford,Ranger Raptor,3.0L Twin-Turbo V6,2956cc,292hp,180km/h,7.9 sec,$60000,Petrol,5,491 Nm
Ford,Puma ST Powershift,1.0L Turbo Hybrid,999cc+Battery,170-hp,210km/h,7.4 sec,??,Hybrid,5,248 nm
Genesis,GV80 Coupe,3.5L Twin-Turbo V6,3470cc,409hp,250km/h,5.6 sec,$85000,Petrol,5,543 Nm
Honda,Civic e:HEV,2.0L Hybrid I4,1993cc+Battery,184hp,180km/h,7.9 sec,$35000,Hybrid,5,315 Nm
Honda,Accord Hybrid 2024,2.0L Hybrid I4,1993cc+Battery,204hp,185km/h,7.8 sec,$38000,Hybrid,5,335 Nm
Hyundai,IONIQ 7,Dual Electric Motors,100kWh,380hp,190km/h,5.8 sec,70000€,electric,7,600 Nm
Hyundai,Elantra N,2.0L Turbo I4,1998cc,286hp,250km/h,5.3 sec,$34000,Petrol,5,392 Nm
Jaguar,F-PACE SVR,5.0L Supercharged V8,5000cc,550-hp,286km/h,4.0 sec,$96000,Petrol,5,700 Nm
Jeep,Wrangler 4xe,2.0L Turbo PHEV,1995cc+Battery,375hp,180km/h,6.4 sec,$57000,Plug-In Hybrid,5,
Kia,Sorento Plug-In Hybrid,1.6L Turbo PHEV,1598cc+Battery,265hp,193km/h,8.4 sec,$48000,Plug-In Hybrid,7,350 Nm
Kia,Stinger GT,3.3L Twin-Turbo V6,3342cc,368hp,270km/h,4.7 sec,$56000,Petrol,5,510 Nm
Lamborghini,Huracán Tecnica,5.2L V10,5204cc,640hp,325km/h,3.2 sec,$250000,Petrol,2,565 Nm
Land Rover,Discovery Sport PHEV,1.5L Turbo PHEV,1498cc+Battery,309hp,209km/h,6.2 sec,$57000,Plug-In Hybrid,5,540 Nm
Lexus,IS 500 F Sport,5.0L V8,4969cc,472hp,240km/h,4.4 sec,??,Petrol,5,540 Nm
Lexus,UX 300e,Single Electric Motor,,204hp,160km/h,7.5 sec,$50000,Electric,cinco,300 Nm
Lucid,Gravity SUV,Dual Electric Motors,120kWh,800hp,250km/h,3.5 sec,$120000,Electric,7,1000 Nm
Maserati,GranTurismo Folgore,Triple Electric Motors,92.5kWh,760hp,320km/h,2.7 sec,$215000,Electric,4,1350 Nm
Mazda,CX-90 Inline-6 Turbo,3.3L Turbo I6,3283cc,340hp,210km/h,6.5 sec,47000€,Petrol,7,500 Nm
Mercedes,EQG 580 4MATIC,Quad Electric Motors,120kWh,580hp,180km/h,4.5 sec,$160000,ELECTRIC,5,900 Nm
Mini,Aceman Electric,Single Electric Motor,54 cm3,218hp,170km/h,7.0 sec,$39000,Electric,5,
Nissan,Qashqai e-POWER,1.5L e-POWER Hybrid,1497cc+Battery,190hp,180km/h,7.9 sec,$35000,Hybrid,5,330 N·m
Opel,Mokka Electric,Single Electric Motor,54CC,156hp,150km/h,9.2 sec,$31000,Electric,5,270 Nm
Peugeot,3008 Hybrid 136,1.2L Hybrid I3,1199cc+Battery,136hp,190km/h,9.8 sec,$38000,Hybrid,5,230 Nm
Polestar,Polestar 5,Dual Electric Motors,103kWh,650hp,250 Km/h,3.2 sec,$110000,Electric,5,900 Nm
Porsche,911 S/T,4.0L Naturally Aspirated Flat-6,3996cc,518hp,300km/h,3.7 sec,290000€,Petrol,2,465 Nm
Porsche,Cayenne Turbo E-Hybrid,4.0L Twin-Turbo V8 PHEV,3996cc+Battery,729hp,295km/h,3.5 sec,$150000,Plug-In Hybrid,5,950 Nm
Renault,Scenic E-Tech Electric,Single Electric Motor,87kWh,220hp,170km/h,7.9 sec,$43000,Electric,5,300 Nm
Skoda,Kodiaq 2024,2.0L Turbo I4,1984cc,204 hp,210km/h,8.5 sec,??,Petrol,7,320 Nm
Subaru,WRX STI Final Edition,2.5L Turbo Boxer-4,2457cc,310hp,255km/h,5.0 sec,$50000,Petrol,5,407 Nm
Suzuki,Swift Sport Hybrid,1.4L Turbo Hybrid,1373cc+Battery,129hp,210 KMH,9.1 sec,??,HYBRID,4,235 Nm
Tesla,Roadster 2025,Triple Electric Motors,200kWh,1000hp,400km/h,1.9 sec,$200000,Electric,4,1200 Nm
Toyota,GR Yaris 2024,1.6L Turbo I3,1618CC,280hp,230km/h,5.2 sec,,Petrol,4,390 Nm
Toyota,Crown SUV Hybrid,2.4L Turbo Hybrid,2393cc+Battery,340hp,200km/h,6.1 sec,$52000,HYBRID,5,600 Nm
Volkswagen,Golf R 20 Years,2.0L Turbo I4,1984cc,333hp,270km/h,4.6 sec,$52000,Petrol,5,420 Nm
Volvo,XC60 T8 Recharge,2.0L Turbo PHEV,1969cc+Battery,455hp,250km/h,4.8 sec,$70000,Plug-In Hybrid,5,709 Nm
Alfa Romeo,Compact GT Line,2.0L Turbo I4,1998cc,280hp,240km/h,5.6 sec,$45000,petrol,5,400 Nm
Audi,Sedan Sport,2.0L Turbo I4,1998cc,265hp,235km/h,6.1 sec,$44000,Petrol,5,370 Nm
BMW,Crossover N Line,3.0L Turbo I6,2998cc,380hp,250km/h,5.2 sec,$58000,Petrol,5,520 Nm
Chevrolet,SUV RS Line,2.0L Turbo I4,1998cc,260hp,230km/h,6.5 sec,$40000,Petrol,5,380 Nm
Ford,Sedan ST Line,2.0L Turbo I4,1998cc,250hp,N/A,6.7 sec,$38000,Petrol,5,360 Nm
Honda,Hatchback R-Line,1.5L Turbo I4,1498cc,190hp,210km/h,7.6 sec,$31000,Petrol,5,260
Hyundai,Compact Premium,2.0L Turbo I4,1998cc,245hp,230km/h,6.9 sec,$34000,Petrol,5,350 Nm
Kia,SUV Luxury,2.5L Turbo I4,2497 cm3,280hp,220km/h,7.2 sec,$37000,Petrol,5,390 N·m
Mazda,Crossover Trail,2.5L Turbo I4,2488cc,256hp,,6.8 sec,$36000,Petrol,5,430 Nm
Mercedes,Coupe Offroad,3.0L Turbo I6,2998cc,380HP,250km/h,5.3 sec,$70000,Petrol,4,520 Nm
Nissan,Compact Touring,1.3L Turbo I4,1332 cc,160hp,,8.8 sec,$27000,Petrol,5,250 Nm
Peugeot,Sedan Performance,1.6L Turbo I4,1598cc,,225km/h,7.4 sec,$35000,Petrol,5,340 Nm
Renault,Hatchback Competition,1.8L Turbo I4,1798cc,,250km/h,5.5 sec,,Petrol,5,400 Nm
Skoda,SUV Black Edition,2.0L Turbo I4,1984cc,245hp,220km/h,7.3 sec,$34000,Petrol,5,360 Nm
Subaru,Crossover Platinum,2.5L Boxer-4,2498cc,185hp,200km/h,8.9 sec,??,Petrol,5,245 Nm
Toyota,Compact GT Line,2.0L Hybrid I4,1998cc+Battery,200hp,205km/h,7.5 sec,$34000,Hybrid,5,260 Nm
Volkswagen,Sedan Sport,,1998cc,245hp,230km/h,6.6 sec,$36000,Petrol,5,370 nm
Volvo,SUV Luxury,2.0L Turbo I4,1969cc,250hp,220km/h,7.0 sec,$45000,Petrol,5,350 Nm
Opel,Crossover Trail,1.5L Turbo I4,1496cc,180hp,205km/h,8.1 sec,$30000,Petrol,5,270 Nm
Citroën,Hatchback Performance,1.6L Turbo I4,1598cc,210hp,215 KMH,7.4 sec,$29000,Petrol,5,300 Nm
